date,description,amount,account_number,account_description,account_category
2024-03-15 23:48:57.578120,,-4372.64,7520,Gæld til kapitalinteresser - kortfristet gæld,Gæld til tilknyttede virksomheder - kortfristet gæld
2024-03-16 23:48:57.578120,,-26192.12,3050,"Af- og nedskrivninger af andre anlæg, driftsmateriel og inventar",Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
2024-03-16 23:48:57.578120," kapitalandele i kapitalinteresser, årets tilgange {} - ref. 49093",-3014.96,5910,"Kapitalandele i kapitalinteresser, årets tilgange",Kapitalandele i kapitalinteresser
2024-03-16 23:48:57.578120, {} renter vedr. tilgodehavende fra salg af varer og tjenesteydelser - ref. 49939,-41729.26,3490,Renter vedr. tilgodehavende fra salg af varer og tjenesteydelser,Andre finansielle indtægter
2024-03-16 23:48:57.578120,,-15197.1,5690,"Materielle anlægsaktiver under udførelse og forudbetalinger for materielle anlægsaktiver, tilbageførte nedskrivninger",Materielle anlægsaktiver under udførelse og forudbetalinger for materielle anlægsaktiver
2024-03-16 23:48:57.578120," betaling {} - materielle anlægsaktiver under udførelse og forudbetalinger for materielle anlægsaktiver, årets afgange - ref. 60513",-25062.38,5660,"Materielle anlægsaktiver under udførelse og forudbetalinger for materielle anlægsaktiver, årets afgange",Materielle anlægsaktiver under udførelse og forudbetalinger for materielle anlægsaktiver
2024-03-17 23:48:57.578120,,-37606.88,3630,"Kurstab på likvider, bankgæld og prioritetsgæld",Øvrige finansielle omkostninger
2024-03-17 23:48:57.578120,,-16276.29,6000,Andre værdipapirer og kapitalandele,Andre værdipapirer og kapitalandele
2024-03-17 23:48:57.578120,,-18828.69,7310,Gæld til kreditinstitutter - kortfristet gæld,Gæld til kreditinstitutter - kortfristet gæld
2024-03-17 23:48:57.578120, {} skyldigt am-bidrag - ref. 19931,-14873.48,7940,Skyldigt AM-bidrag,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-03-17 23:48:57.578120,,-30280.09,2910,Pensioner,Personaleomkostninger
2024-03-18 23:48:57.578120,,-9393.44,7960,Skyldigt ATP-bidrag,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-03-18 23:48:57.578120, betaling {} - olie- og flaskegasafgift - ref. 65658,-31980.78,7760,Olie- og flaskegasafgift,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-03-18 23:48:57.578120,,-48440.46,3060,Af- og nedskrivninger af software,Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
2024-03-19 23:48:57.578120,,-24903.32,6810,Reserve for udlån og sikkerhedsstillelse,Andre reserver
2024-03-19 23:48:57.578120,,-25244.77,6320,Tilgodehavende moms (kortfristet),Andre tilgodehavender (kortfristede)
2024-03-19 23:48:57.578120,,-43415.97,2690,Øvrige rådgivningshonorarer,Administrationsomkostninger
2024-03-20 23:48:57.578120,,-12113.87,6250,Akkumulerede nedskrivninger til tab på tilgodehavender fra kapitalinteresser,Kortfristede tilgodehavender hos tilknyttede virksomheder
2024-03-20 23:48:57.578120,,-43127.35,3070,Af- og nedskrivninger af finansielt leasede grunde og bygninger,Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
2024-03-20 23:48:57.578120, betaling {} - tilgodehavender fra salg og tjenesteydelser - ref. 39908,-13060.92,6210,Tilgodehavender fra salg og tjenesteydelser,Tilgodehavender fra salg og tjenesteydelser
2024-03-20 23:48:57.578120,,-16528.02,7830,Co2-afgift,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-03-21 23:48:57.578120,,-43458.47,1870,Udstillinger og dekoration,Salgsomkostninger
2024-03-21 23:48:57.578120,,-48911.35,3400,"Øvrige indtægter af andre kapitalandele, værdipapirer og tilgodehavender, der er anlægsaktiver","Indtægter af andre kapitalandele, værdipapirer og tilgodehavender, der er anlægsaktiver"
2024-03-21 23:48:57.578120, af- og nedskrivninger af produktionsanlæg og maskiner {} - ref. 57128,-47068.88,3030,Af- og nedskrivninger af produktionsanlæg og maskiner,Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
2024-03-21 23:48:57.578120, {} tilgodehavende kildeskat - ref. 61432,-39732.55,6310,Tilgodehavende kildeskat,Andre tilgodehavender (kortfristede)
2024-03-21 23:48:57.578120,,-46931.63,7450,Leverandører af varer og tjenesteydelser,Leverandører af varer og tjenesteydelser
2024-03-22 23:48:57.578120, {} kulafgift - ref. 47589,-45788.0,2110,Kulafgift,Lokaleomkostninger
2024-03-22 23:48:57.578120, betaling {} - resultat før skat - ref. 93696,-42233.43,3701,Resultat før skat,Øvrige finansielle omkostninger
2024-03-22 23:48:57.578120,,-42341.1,7240,Leasingforpligtelse - langfristet gæld,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-03-22 23:48:57.578120,,-4864.8,2240,Småanskaffelser over skattemæssig grænse for småaktiver,Administrationsomkostninger
2024-03-23 23:48:57.578120,,-17008.98,1710,"Ydelseskøb udland, EU","Omkostninger til råvarer, hjælpematerialer og ydelser"
2024-03-23 23:48:57.578120,,-222.07,5480,"Produktionsanlæg og maskiner, tilbageførte af- og nedskrivninger",Produktionsanlæg og maskiner
2024-03-24 23:48:57.578120,,-42444.12,6830,Reserve for ikke indbetalt virksomhedskapital og overkurs,Andre reserver
2024-03-24 23:48:57.578120,,-5114.69,6499,AKTIVER I ALT,Likvide beholdninger
2024-03-25 23:48:57.578120,,-17010.33,2900,AM Bidragsfri A-Indkomst,Personaleomkostninger
2024-03-25 23:48:57.578120,,-28574.28,7530,Gæld til tilknyttede virksomheder - kortfristet gæld,Gæld til tilknyttede virksomheder - kortfristet gæld
2024-03-25 23:48:57.578120, øvrige andre driftsomkostninger {} - ref. 31144,-33368.34,3180,Øvrige andre driftsomkostninger,Andre driftsomkostninger
2024-03-25 23:48:57.578120,,22297.78,1590,Andre driftsindtægter,Andre driftsindtægter
2024-03-25 23:48:57.578120, betaling {} - immaterielle anlægsaktiver - ref. 60897,-17505.92,5141,Immaterielle anlægsaktiver,Erhvervede immaterielle anlægsaktiver
2024-03-26 23:48:57.578120, {} kontingenter - ref. 66444,-22465.81,2370,Kontingenter,Administrationsomkostninger
2024-03-26 23:48:57.578120,,40662.15,1540,Gevinst ved salg af finansielle anlægsaktiver,Andre driftsindtægter
2024-03-26 23:48:57.578120," {} investeringsejendomme, årets tilgange - ref. 67841",-38490.55,5170,"Investeringsejendomme, årets tilgange",Investeringsejendomme
2024-03-26 23:48:57.578120, anden gæld (kortfristet gæld) {} - ref. 20261,-37127.35,8050,Anden gæld (kortfristet gæld),"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-03-27 23:48:57.578120,,-15026.42,2090,Vandafgift,Lokaleomkostninger
2024-03-27 23:48:57.578120,,-10880.98,7030,Hensættelse til udskudt skat,Hensættelse til udskudt skat
2024-03-28 23:48:57.578120,,-21401.78,1850,Annoncering og reklame,Salgsomkostninger
2024-03-28 23:48:57.578120, {} periodeafgrænsningsposter - ref. 97792,-2905.78,8080,Periodeafgrænsningsposter,Periodeafgrænsningsposter
2024-03-28 23:48:57.578120,,-21998.18,5530,"Indretning af lejede lokaler, øvrige værdireguleringer",Indretning af lejede lokaler
2024-03-28 23:48:57.578120,,-10796.45,6971,Egenkapital i alt,Foreslået udbytte indregnet under egenkapitalen
2024-03-28 23:48:57.578120, reserve for nettoopskrivning efter den indre værdis metode {} - ref. 71472,-33843.43,6590,Reserve for nettoopskrivning efter den indre værdis metode,Reserve for nettoopskrivning efter den indre værdis metode
2024-03-28 23:48:57.578120,,19839.55,1550,Øvrige andre driftsindtægter,Andre driftsindtægter
2024-03-28 23:48:57.578120,,-8927.92,6110,Varer under fremstilling,Varer under fremstilling
2024-03-30 23:48:57.578120, betaling {} - renter til det offentlige (ej fradragsberettiget skattemæssigt) - ref. 27840,-30743.94,3675,Renter til det offentlige (ej fradragsberettiget skattemæssigt),Øvrige finansielle omkostninger
2024-03-30 23:48:57.578120," {} af- og nedskrivninger af andre anlæg, driftsmateriel og inventar - ref. 51771",-32416.85,3050,"Af- og nedskrivninger af andre anlæg, driftsmateriel og inventar",Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
2024-03-30 23:48:57.578120, af- og nedskrivninger af finansielt leasede produktionsanlæg og maskiner {} - ref. 69594,-21305.78,3080,Af- og nedskrivninger af finansielt leasede produktionsanlæg og maskiner,Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
2024-03-30 23:48:57.578120,,-5595.94,6590,Reserve for nettoopskrivning efter den indre værdis metode,Reserve for nettoopskrivning efter den indre værdis metode
2024-03-30 23:48:57.578120,,-13800.18,5450,"Produktionsanlæg og maskiner, øvrige værdireguleringer",Produktionsanlæg og maskiner
2024-03-30 23:48:57.578120, betaling {} - anden skyldig pension - ref. 11291,-36166.37,8000,Anden skyldig pension,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-03-31 23:48:57.578120,,-37494.46,5060,"Goodwill, tilbageførte af- og nedskrivninger",Goodwill
2024-03-31 23:48:57.578120,,-3359.73,6260,Kortfristede tilgodehavender hos tilknyttede virksomheder,Kortfristede tilgodehavender hos tilknyttede virksomheder
2024-03-31 23:48:57.578120, foreslået udbytte indregnet under egenkapitalen {} - ref. 21694,-19121.21,6960,Foreslået udbytte indregnet under egenkapitalen,Foreslået udbytte indregnet under egenkapitalen
2024-04-01 23:48:57.578120,,-10290.56,6310,Tilgodehavende kildeskat,Andre tilgodehavender (kortfristede)
2024-04-01 23:48:57.578120,,-24600.6,5940,"Kapitalandele i kapitalinteresser, årets nedskrivninger",Kapitalandele i kapitalinteresser
2024-04-01 23:48:57.578120, leasingforpligtelse - kortfristet {} - ref. 33750,-17195.84,7630,Leasingforpligtelse - kortfristet,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-04-02 23:48:57.578120,,44484.46,1550,Øvrige andre driftsindtægter,Andre driftsindtægter
2024-04-03 23:48:57.578120," {} periodeafgrænsningsposter, der kan opretholdes skattemæssigt - ref. 22719",-19903.48,6390,"Periodeafgrænsningsposter, der kan opretholdes skattemæssigt",Periodeafgrænsningsposter
2024-04-03 23:48:57.578120,,-1217.31,5350,"Grunde og bygninger, årets forbedringer",Grunde og bygninger
2024-04-03 23:48:57.578120,,-1086.46,5490,"Produktionsanlæg og maskiner, ultimo",Produktionsanlæg og maskiner
2024-04-03 23:48:57.578120,,-44895.16,2510,Konsulentydelser,Administrationsomkostninger
2024-04-04 23:48:57.578120,,-29426.02,5740,"Finansielt leasede aktiver, øvrige værdireguleringer",Finansielt leasede aktiver
2024-04-04 23:48:57.578120,,-5563.63,7510,Gæld til tilknyttede virksomheder - kortfristet gæld,Gæld til tilknyttede virksomheder - kortfristet gæld
2024-04-04 23:48:57.578120,,-44390.9,9999,PASSIVER I ALT,Periodeafgrænsningsposter
2024-04-04 23:48:57.578120,,-30634.63,2540,"Driftsomkostninger, personbiler",Administrationsomkostninger
2024-04-05 23:48:57.578120,,-1241.68,6550,Overkurs ved emission,Overkurs ved emission
2024-04-06 23:48:57.578120, {} overført resultat - ref. 40556,-9672.69,6940,Overført resultat,Overført resultat
2024-04-06 23:48:57.578120,,-41307.74,2520,Kursusudgifter,Administrationsomkostninger
2024-04-06 23:48:57.578120,,-23669.65,5720,"Finansielt leasede aktiver, årets tilgange",Finansielt leasede aktiver
2024-04-07 23:48:57.578120, {} andre værdipapirer og kapitalandele - ref. 68513,-21922.65,6010,Andre værdipapirer og kapitalandele,Andre værdipapirer og kapitalandele
2024-04-07 23:48:57.578120,,-8725.34,6030,Øvrige (langfristede) tilgodehavender,Andre (langfristede) tilgodehavender
2024-04-08 23:48:57.578120,,-24834.94,5810,"Kapitalandele i tilknyttede virksomheder, årets tilgange",Kapitalandele i tilknyttede virksomheder
2024-04-09 23:48:57.578120,,-9931.94,3590,"Finansielle omkostninger, der hidrører fra tilknyttede virksomheder","Finansielle omkostninger, der hidrører fra tilknyttede virksomheder"
2024-04-09 23:48:57.578120,,-29534.51,2280,Konstaterede tab på tilgodehavender fra salg og tjenesteydelser,Administrationsomkostninger
2024-04-10 23:48:57.578120,,-22091.31,5350,"Grunde og bygninger, årets forbedringer",Grunde og bygninger
2024-04-10 23:48:57.578120,,-27896.52,6460,Andre værdipapirer og kapitalandele,Andre værdipapirer og kapitalandele
2024-04-10 23:48:57.578120, {} øvrige produktionsomkostninger - ref. 48039,-25378.55,2270,Øvrige produktionsomkostninger,Administrationsomkostninger
2024-04-11 23:48:57.578120,,-10658.1,7330,Gæld til banker - kortfristet gæld,Gæld til kreditinstitutter - kortfristet gæld
2024-04-11 23:48:57.578120, {} kursusudgifter - ref. 25837,-22785.3,2520,Kursusudgifter,Administrationsomkostninger
2024-04-11 23:48:57.578120, gæld til kapitalinteresser - langfristet gæld {} - ref. 76267,-13977.87,7170,Gæld til kapitalinteresser - langfristet gæld,Gæld til tilknyttede virksomheder - langfristet gæld
2024-04-11 23:48:57.578120,,-518.09,5060,"Goodwill, tilbageførte af- og nedskrivninger",Goodwill
2024-04-12 23:48:57.578120, skyldige feriepenge {} - ref. 63440,-25884.01,7900,Skyldige feriepenge,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-04-12 23:48:57.578120,,-38946.91,7830,Co2-afgift,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-04-12 23:48:57.578120, regulering vedrørende tidligere år {} - ref. 89538,-26427.28,3780,Regulering vedrørende tidligere år,Skat af årets resultat
2024-04-13 23:48:57.578120,,-16095.22,7760,Olie- og flaskegasafgift,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-04-13 23:48:57.578120,,-41264.6,3680,Værdireguleringer af investeringsejendomme,Øvrige finansielle omkostninger
2024-04-13 23:48:57.578120,,49724.65,1490,Ændring i lagre af færdigvarer og varer under fremstilling,Ændring i lagre af færdigvarer og varer under fremstilling
2024-04-14 23:48:57.578120,,-10324.07,5140,"Erhvervede immaterielle anlægsaktiver, ultimo",Erhvervede immaterielle anlægsaktiver
2024-04-14 23:48:57.578120,,-28136.9,2630,Biludgifter efter statens takster,Administrationsomkostninger
2024-04-14 23:48:57.578120,,-21719.75,2330,Skattefri rejse- og befordringsgodtgørelse,Administrationsomkostninger
2024-04-14 23:48:57.578120, akkumulerede nedskrivninger til tab på tilgodehavender fra tilknyttede virksomheder {} - ref. 18973,-19076.58,6230,Akkumulerede nedskrivninger til tab på tilgodehavender fra tilknyttede virksomheder,Kortfristede tilgodehavender hos tilknyttede virksomheder
2024-04-16 23:48:57.578120,,20651.68,1490,Ændring i lagre af færdigvarer og varer under fremstilling,Ændring i lagre af færdigvarer og varer under fremstilling
2024-04-16 23:48:57.578120,,-31197.33,2370,Kontingenter,Administrationsomkostninger
2024-04-16 23:48:57.578120,,-7559.92,3030,Af- og nedskrivninger af produktionsanlæg og maskiner,Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
2024-04-16 23:48:57.578120,,-1285.87,5530,"Indretning af lejede lokaler, øvrige værdireguleringer",Indretning af lejede lokaler
2024-04-17 23:48:57.578120,,-8335.01,2380,Faglitteratur,Administrationsomkostninger
2024-04-18 23:48:57.578120, {} foreslået udbytte indregnet under egenkapitalen - ref. 91364,-15503.86,6970,Foreslået udbytte indregnet under egenkapitalen,Foreslået udbytte indregnet under egenkapitalen
2024-04-18 23:48:57.578120,,-42079.4,5920,"Kapitalandele i kapitalinteresser, årets afgange",Kapitalandele i kapitalinteresser
2024-04-19 23:48:57.578120,,-22171.71,6910,Øvrige reserver,Andre reserver
2024-04-19 23:48:57.578120," betaling {} - goodwill, årets af- og nedskrivninger - ref. 55675",-23026.25,5050,"Goodwill, årets af- og nedskrivninger",Goodwill
2024-04-19 23:48:57.578120, {} reserve for opskrivninger - ref. 16900,-3177.68,6570,Reserve for opskrivninger,Reserve for opskrivninger
2024-04-19 23:48:57.578120,,49475.39,1410,Varelagerregulering på lagre af færdigvarer og varer under fremstilling,Ændring i lagre af færdigvarer og varer under fremstilling
2024-04-20 23:48:57.578120,,-17201.14,6210,Tilgodehavender fra salg og tjenesteydelser,Tilgodehavender fra salg og tjenesteydelser
2024-04-20 23:48:57.578120,,-36679.15,2960,Andre personaleomkostninger,Personaleomkostninger
2024-04-20 23:48:57.578120,,-7924.57,5300,"Investeringsejendomme under opførelse, tilbageførte nedskrivninger",Investeringsejendomme under opførelse
2024-04-20 23:48:57.578120,,-11605.02,3590,"Finansielle omkostninger, der hidrører fra tilknyttede virksomheder","Finansielle omkostninger, der hidrører fra tilknyttede virksomheder"
2024-04-20 23:48:57.578120,,-38133.68,1990,Gaver og blomster,Salgsomkostninger
2024-04-21 23:48:57.578120,,-12185.19,7050,Andre hensatte forpligtelser,Andre hensatte forpligtelser
2024-04-22 23:48:57.578120," finansielle omkostninger, der hidrører fra tilknyttede virksomheder {} - ref. 93535",-17964.32,3600,"Finansielle omkostninger, der hidrører fra tilknyttede virksomheder","Finansielle omkostninger, der hidrører fra tilknyttede virksomheder"
2024-04-22 23:48:57.578120,,-30674.4,2280,Konstaterede tab på tilgodehavender fra salg og tjenesteydelser,Administrationsomkostninger
2024-04-22 23:48:57.578120,,-27010.52,2270,Øvrige produktionsomkostninger,Administrationsomkostninger
2024-04-22 23:48:57.578120,,-31592.13,2910,Pensioner,Personaleomkostninger
2024-04-23 23:48:57.578120, betaling {} - tilgodehavender hos virksomhedsdeltagere og ledelse - ref. 90633,-31965.24,6060,Tilgodehavender hos virksomhedsdeltagere og ledelse,Tilgodehavender hos virksomhedsdeltagere og ledelse
2024-04-23 23:48:57.578120, renter fra banker {} - ref. 64646,-19558.6,3470,Renter fra banker,Andre finansielle indtægter
2024-04-23 23:48:57.578120,,-3284.78,5400,"Grunde og bygninger, tilbageførte af- og nedskrivninger",Grunde og bygninger
2024-04-24 23:48:57.578120,,-16397.05,3190,Andre driftsomkostninger,Andre driftsomkostninger
2024-04-24 23:48:57.578120,,-45283.92,6530,Virksomhedskapital,Virksomhedskapital
2024-04-24 23:48:57.578120,,-26684.8,3090,"Af- og nedskrivninger af finansielt leasede andre anlæg, driftsmateriel og inventar",Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
2024-04-24 23:48:57.578120, betaling fra {} a/s - ref. 47968,-32952.36,1630,"Varekøb udland, EU","Omkostninger til råvarer, hjælpematerialer og ydelser"
2024-04-24 23:48:57.578120,,-12340.97,5170,"Investeringsejendomme, årets tilgange",Investeringsejendomme
2024-04-24 23:48:57.578120,,-9907.64,6071,Finansielle anlægsaktiver,Tilgodehavender hos virksomhedsdeltagere og ledelse
2024-04-25 23:48:57.578120," {} andre anlæg, driftsmateriel og inventar, øvrige værdireguleringer - ref. 81200",-10221.22,5600,"Andre anlæg, driftsmateriel og inventar, øvrige værdireguleringer","Andre anlæg, driftsmateriel og inventar"
2024-04-25 23:48:57.578120,,-15121.7,5530,"Indretning af lejede lokaler, øvrige værdireguleringer",Indretning af lejede lokaler
2024-04-25 23:48:57.578120, betaling {} - hensatte forpligtelser - ref. 96159,-38022.71,7051,Hensatte forpligtelser,Andre hensatte forpligtelser
2024-04-25 23:48:57.578120,,-46911.11,3100,Af- og nedskrivninger af materielle og immaterielle anlægsaktiver,Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
2024-04-25 23:48:57.578120,,-17997.01,6430,Kapitalandele i tilknyttede virksomheder,Kapitalandele i tilknyttede virksomheder
2024-04-26 23:48:57.578120,,-30552.3,2480,Vikarassistance,Administrationsomkostninger
2024-04-27 23:48:57.578120,,-12299.61,5660,"Materielle anlægsaktiver under udførelse og forudbetalinger for materielle anlægsaktiver, årets afgange",Materielle anlægsaktiver under udførelse og forudbetalinger for materielle anlægsaktiver
2024-04-27 23:48:57.578120,,-9494.57,2450,Kontorartikler,Administrationsomkostninger
2024-04-28 23:48:57.578120,,-31430.13,6971,Egenkapital i alt,Foreslået udbytte indregnet under egenkapitalen
2024-04-29 23:48:57.578120, leverandører af varer og tjenesteydelser {} - ref. 63037,-28539.37,7440,Leverandører af varer og tjenesteydelser,Leverandører af varer og tjenesteydelser
2024-04-29 23:48:57.578120, betaling {} - leasingforpligtelse - kortfristet - ref. 49801,-41271.95,7630,Leasingforpligtelse - kortfristet,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-04-30 23:48:57.578120,,-33420.91,5130,"Erhvervede immaterielle anlægsaktiver, tilbageførte af- og nedskrivninger",Erhvervede immaterielle anlægsaktiver
2024-04-30 23:48:57.578120,,-1928.16,3440,Andre finansielle indtægter fra tilknyttede virksomheder,Andre finansielle indtægter fra tilknyttede virksomheder
2024-04-30 23:48:57.578120,,-11047.0,5960,"Kapitalandele i kapitalinteresser, ultimo",Kapitalandele i kapitalinteresser
2024-04-30 23:48:57.578120,,-915.22,2110,Kulafgift,Lokaleomkostninger
2024-04-30 23:48:57.578120,,-15356.53,2470,Rejseudgifter,Administrationsomkostninger
2024-05-01 23:48:57.578120, {} co2-afgift - ref. 90747,-13647.42,2130,Co2-afgift,Lokaleomkostninger
2024-05-01 23:48:57.578120,,-23123.94,2030,"Husleje, ekskl. el, vand og varme",Lokaleomkostninger
2024-05-02 23:48:57.578120,,-21679.55,8000,Anden skyldig pension,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-05-02 23:48:57.578120,,-44725.07,7160,Gæld til tilknyttede virksomheder - langfristet gæld,Gæld til tilknyttede virksomheder - langfristet gæld
2024-05-02 23:48:57.578120,,-7711.25,7900,Skyldige feriepenge,"Anden gæld, herunder skyldige skatter og skyldige bidrag til social sikring"
2024-05-02 23:48:57.578120,,32992.75,1460,Øvrige ændringer på lagre af færdigvarer og varer under fremstilling,Ændring i lagre af færdigvarer og varer under fremstilling
2024-05-03 23:48:57.578120,,-23398.83,3020,Af- og nedskrivninger af grunde og bygninger,Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
2024-05-04 23:48:57.578120, andre (langfristede) tilgodehavender {} - ref. 77263,-31986.09,6050,Andre (langfristede) tilgodehavender,Andre (langfristede) tilgodehavender
2024-05-04 23:48:57.578120,,-48605.79,2370,Kontingenter,Administrationsomkostninger
2024-05-04 23:48:57.578120,,14349.61,1100,"Salg af varer udland, ikke-EU",Nettoomsætning
2024-05-04 23:48:57.578120,,-13629.42,5060,"Goodwill, tilbageførte af- og nedskrivninger",Goodwill
2024-05-05 23:48:57.578120,,-22455.09,1630,"Varekøb udland, EU","Omkostninger til råvarer, hjælpematerialer og ydelser"
2024-05-06 23:48:57.578120,,-48113.3,6510,Registreret kapital mv.,Virksomhedskapital
2024-05-06 23:48:57.578120,,-26885.65,3400,"Øvrige indtægter af andre kapitalandele, værdipapirer og tilgodehavender, der er anlægsaktiver","Indtægter af andre kapitalandele, værdipapirer og tilgodehavender, der er anlægsaktiver"
2024-05-06 23:48:57.578120,,-21823.9,5760,"Finansielt leasede aktiver, tilbageførte af- og nedskrivninger",Finansielt leasede aktiver
2024-05-08 23:48:57.578120,,39360.85,1410,Varelagerregulering på lagre af færdigvarer og varer under fremstilling,Ændring i lagre af færdigvarer og varer under fremstilling
2024-05-08 23:48:57.578120, betaling {} - materielle anlægsaktiver - ref. 55032,-40441.3,5771,Materielle anlægsaktiver,Finansielt leasede aktiver
2024-05-09 23:48:57.578120, indbetaling {} - ref. 72719,24472.85,1460,Øvrige ændringer på lagre af færdigvarer og varer under fremstilling,Ændring i lagre af færdigvarer og varer under fremstilling
2024-05-09 23:48:57.578120,,-47121.43,6470,Likvide beholdninger,Likvide beholdninger
2024-05-09 23:48:57.578120, personalegoder {} - ref. 90339,-27200.38,2965,Personalegoder,Personaleomkostninger
2024-05-09 23:48:57.578120,,-13175.62,2540,"Driftsomkostninger, personbiler",Administrationsomkostninger
2024-05-10 23:48:57.578120, {} igangværende arbejder for fremmed regning - ref. 86074,-33706.37,6280,Igangværende arbejder for fremmed regning,Igangværende arbejder for fremmed regning
2024-05-10 23:48:57.578120,,-32889.63,7050,Andre hensatte forpligtelser,Andre hensatte forpligtelser
2024-05-10 23:48:57.578120,,-38067.52,2280,Konstaterede tab på tilgodehavender fra salg og tjenesteydelser,Administrationsomkostninger
